SITEID,Lat,Lon
'150090025',20.86963,-156.49363
'160010010',43.6007,-116.34785
'160050020',42.97825,-112.45581
'160090010',47.31658,-116.57128
'160270002',43.58031,-116.56268
'160410001',42.01333,-111.80917
'160530003',42.68,-114.2525
'160590004',45.1819,-113.89029
'160790017',47.53639,-116.23667
'170190006',40.12389,-88.24055
'170191001',40.05278,-88.37251
'170310001',41.67099,-87.73246
'170310022',41.68717,-87.53932
'170310052',41.96549,-87.74993
'170310057',41.91286,-87.72272
'170310076',41.7514,-87.71349
'170311016',41.80118,-87.83235
'170313103',41.96519,-87.87627
'170313301',41.78277,-87.80538
'170314007',42.06029,-87.86322
'170314201',42.14,-87.79923
'170316005',41.86443,-87.7489
'170434002',41.77107,-88.15253
'170650002',38.08216,-88.62494
'170831001',39.11054,-90.32408
'170890003',42.0504,-88.28002
'170890007',41.78472,-88.32937
'171110001',42.22144,-88.24221
'171132003',40.51873,-88.9969
'171150013',39.86683,-88.92559
'171190024',38.70063,-90.14476
'171191007',38.70453,-90.13967
'171192009',38.90308,-90.14317
'171193007',38.86067,-90.10585
'171430037',40.69701,-89.58474
'171570001',38.17628,-89.78846
'171613002',41.51473,-90.51735
'171630010',38.61203,-90.16048
'171670012',39.83192,-89.64416
'171971002',41.52689,-88.11647
'171971011',41.22154,-88.19097
'172010013',42.26308,-89.09277
'180030004',41.09497,-85.10182
'180050008',39.23746,-85.89133
'180190006',38.2777,-85.7401
'180190008',38.39382,-85.66412
'180350006',40.1995,-85.38791
'180372001',38.39144,-86.92916
'180390008',41.65691,-85.96837
'180431004',38.30806,-85.83417
'180550001',38.98558,-86.99012
'180570007',39.96088,-85.93955
'180650003',40.00952,-85.52345
'180670004',40.48135,-86.10972
'180890006',41.63613,-87.44084
'180890022',41.60668,-87.30473
'180890026',41.57324,-87.40591
'180890031',41.59851,-87.34299
'180892004',41.5855,-87.47449
'180910011',41.70721,-86.89122
'180950011',40.1257,-85.65218
'180970043',39.74499,-86.16646
'180970078',39.8111,-86.11447
'180970081',39.7889,-86.21463
'180970083',39.77498,-86.12202
'180970084',39.75885,-86.11541
'180970087',39.78793,-86.13088
'181050003',39.15938,-86.50476
'181270024',41.61756,-87.19925
'181410015',41.69669,-86.21468
'181470009',38.16752,-86.98321
'181570008',40.43164,-86.8525
'181630016',37.97444,-87.53229
'181630021',38.01325,-87.57786
'181630023',37.97447,-87.55802
'181670018',39.48615,-87.4014
'181830003',41.16965,-85.62929
'190130009',42.50154,-92.31602
'190450019',41.82328,-90.21198
'190450021',41.875,-90.17757
'190550001',42.60083,-91.53849
'191032001',41.65723,-91.50348
'191110008',40.40096,-91.39101
'191130040',41.97677,-91.68766
'191370002',40.96911,-95.04495
'191390015',41.40097,-91.06796
'191390016',41.41943,-91.07098
'191390018',41.41439,-91.06261
'191390020',41.4069,-91.0616
'191471002',43.1237,-94.69352
'191530030',41.60316,-93.64312
'191532510',41.60352,-93.7479
'191550009',41.26417,-95.89612
'191630015',41.53001,-90.58761
'191630018',41.55,-90.60012
'191630020',41.51208,-90.62404
'191770006',40.69508,-92.00632
'191930021',42.49984,-96.39476
'200910007',38.97446,-94.68701
'200910010',38.83857,-94.74642
'201330003',37.67696,-95.47594
'201730009',37.65111,-97.36221
'201730010',37.70207,-97.31485
'201731012',37.74708,-97.31691
'201770013',39.02426,-95.71128
'201910002',37.47689,-97.3664
'201950001',38.77008,-99.76342
'202090021',39.11722,-94.6356
'210130002',36.60843,-83.73694
'210190017',38.45934,-82.64041
'210373002',39.02188,-84.47445
'210430500',38.23887,-82.9881
'210470006',36.91171,-87.32334
'210590005',37.78078,-87.07531
'210670012',38.06503,-84.49761
'210930006',37.70561,-85.85263
'211010014',37.8712,-87.46375
'211110043',38.23319,-85.81566
'211110051',38.06091,-85.89804
'211110067',38.22876,-85.65452
'211110075',38.1936,-85.7119
'211451024',37.05822,-88.57251
'211510003',37.73846,-84.28495
'211930003',37.28329,-83.20932
'211950002',37.4826,-82.53532
'211990003',37.09798,-84.61152
'212270009',37.04926,-86.21487
'220170008',32.47182,-93.79518
'220190009',30.22798,-93.57849
'220330009',30.46198,-91.17922
'220470005',30.2191,-91.06255
'220511001',30.04357,-90.27509
'220512001',29.88326,-90.0834
'220550007',30.2177,-92.05151
'220710021',29.99601,-90.11819
'220730004',32.50986,-92.04623
'220790002',31.17782,-92.41075
'220870007',29.94475,-89.97626
'221050001',30.50325,-90.37703
'221090001',29.67909,-90.78006
'221210001',30.50064,-91.21356
'230010011',44.08941,-70.21422
'230030014',47.35533,-68.32111
'230031008',46.69842,-68.0384
'230031011',46.6823,-68.01619
'230050015',43.67799,-70.25618
'230050029',43.66025,-70.26896
'230090103',44.37705,-68.2609
'230110016',44.31232,-69.78672
'230172011',44.55142,-70.54632
'230190002',44.79886,-68.76968
'240031003',39.16953,-76.62793
'240051007',39.46203,-76.63167
'240053001',39.31083,-76.47444
'240150003',39.70144,-75.86005
'240190004',38.58752,-76.14101
'240230002',39.70595,-79.012
'240251001',39.41019,-76.29695
'240270006',39.14313,-76.84611
'240290002',39.30502,-75.79732
'240313001',39.11431,-77.10688
'240330030',39.05528,-76.87833
'240338003',38.81194,-76.74417
'240430009',39.56418,-77.72024
'245100007',39.34465,-76.68538
'245100008',39.28777,-76.54686
'245100040',39.29773,-76.6046
'250030006',42.45202,-73.25509
'250035001',42.44801,-73.25411
'250051004',41.68571,-71.16924
'250092006',42.47464,-70.97082
'250095005',42.77084,-71.10229
'250096001',42.69821,-71.16441
'250112005',42.60582,-72.59669
'250130008',42.19438,-72.55511
'250130016',42.10899,-72.5908
'250154002',42.29849,-72.33408
'250213003',42.21177,-71.11397
'250230005',42.06511,-71.01213
'250250002',42.34887,-71.09716
'250250042',42.3295,-71.0826
'250250043',42.3631,-71.0543
'250250044',42.32519,-71.05606
'250270016',42.2601,-71.79837
'250270023',42.26396,-71.79432
'260050003',42.76779,-86.14858
'260170014',43.57139,-83.89072
'260210014',42.19779,-86.30969
'260330901',46.49363,-84.36421
'260490021',43.04722,-83.67016
'260650012',42.73862,-84.53463
'260770008',42.27807,-85.54189
'260810007',42.95612,-85.67912
'260810020',42.98417,-85.67134
'260910007',41.99557,-83.94656
'260990009',42.73139,-82.79346
'261010922',44.307,-86.24265
'261130001',44.31056,-84.89186
'261150006',41.92358,-83.34573
'261250001',42.46306,-83.1832
'261470005',42.95334,-82.45623
'261610008',42.24056,-83.5996
'261630001',42.22862,-83.2082
'261630015',42.30279,-83.10653
'261630016',42.35781,-83.09603
'261630019',42.43084,-83.00014
'261630025',42.42306,-83.42626
'261630033',42.30667,-83.14875
'261630036',42.18729,-83.1539
'261630039',42.32334,-83.06847
'261630093',42.386,-83.26619
'261630095',42.4215,-83.42504
'270031002',45.13768,-93.20762
'270052013',46.85181,-95.84627
'270072304',47.87816,-95.02917
'270177417',46.71369,-92.51172
'270317810',47.97208,-89.69098
'270353204',46.39674,-94.1303
'270370470',44.73846,-93.23725
'270370480',44.70612,-93.2858
'270530962',44.96524,-93.25476
'270530963',44.95366,-93.25821
'270532006',44.94805,-93.34315
'270750005',47.94862,-91.49557
'270834210',44.4438,-95.81789
'271095008',43.99691,-92.45037
'271230868',44.95072,-93.09827
'271230871',44.95939,-93.03587
'271231908',44.9731,-93.19988
'271377001',47.52336,-92.5363
'271377550',46.81826,-92.08936
'271377554',46.74366,-92.166
'271390505',44.79144,-93.51253
'271453052',45.54984,-94.13345
'271630447',45.02862,-92.78336
'271630448',45.02124,-92.77525
'271713201',45.20916,-93.66921
'280330002',34.82166,-89.98783
'280350004',31.32364,-89.28717
'280430001',33.83444,-89.79278
'280450003',30.30083,-89.39592
'280470008',30.39037,-89.04978
'280490020',32.32911,-90.18272
'280490021',32.34672,-90.22567
'280590006',30.37829,-88.53393
'290210005',39.74169,-94.85858
'290370003',38.75961,-94.57983
'290390001',37.69,-94.035
'290470005',39.30317,-94.37701
'290770036',37.25614,-93.29989
'290950034',39.10469,-94.57079
'290950042',39.04791,-94.45051
'290990019',38.44867,-90.3959
'291893001',38.65033,-90.35031
'295100007',38.54255,-90.26371
'295100085',38.65643,-90.19835
'295100093',38.65648,-90.18987
'295100094',38.63114,-90.28115
'300270006',47.04854,-109.45531
'300290049',48.36369,-114.18927
'300490004',46.8505,-111.98716
'300490026',46.65876,-112.01309
'300530018',48.39155,-115.55331
'300630024',46.84218,-114.0215
'300630037',47.01291,-114.22427
'300710010',48.31751,-107.86247
'300750001',45.44029,-105.37028
'300810007',46.24362,-114.15889
'300830001',47.80339,-104.48555
'300870001',45.36615,-106.48982
'300930005',46.0026,-112.50125
'301110085',45.7804,-108.51154
'310550019',41.24749,-95.97314
'310550052',41.19785,-96.05669
'310790004',40.9421,-98.36497
'311090022',40.81259,-96.68331
'311530007',41.13329,-95.9561
'311570004',41.87685,-103.65656
'311770002',41.55121,-96.14617
'320030298',36.04874,-115.05288
'320030540',36.14189,-115.07873
'320030561',36.16396,-115.11392
'320031019',35.78567,-115.35705
'320032002',36.19126,-115.12293
'320038000',36.35779,-115.36223
'320050007',38.89756,-119.73251
'320310016',39.52508,-119.80772
'320311005',39.54092,-119.74676
'325100020',39.1447,-119.7661
'330012004',43.56612,-71.49634
'330050007',42.93052,-72.27233
'330090010',43.6296,-72.3095
'330115001',42.86183,-71.87863
'330150014',43.07537,-70.74802
'330150018',42.86253,-71.38014
'340010006',39.46487,-74.44874
'340011006',39.36326,-74.431
'340030003',40.85226,-73.97331
'340030010',40.85358,-73.96621
'340070002',39.93445,-75.12529
'340071007',39.98904,-75.05001
'340110007',39.42227,-75.0252
'340130003',40.72099,-74.19289
'340150004',39.83081,-75.28472
'340170008',40.77091,-74.03622
'340171003',40.72545,-74.05229
'340190001',40.51526,-74.80667
'340210005',40.28309,-74.74264
'340210008',40.22241,-74.76317
'340230011',40.46218,-74.42944
'340273001',40.78763,-74.6763
'340292002',39.99491,-74.17045
'340310005',40.91838,-74.16809
'340390004',40.64144,-74.20837
'340392003',40.60394,-74.27617
'340410007',40.92458,-75.06781
'350010023',35.1343,-106.5852
'350010029',35.01708,-106.65739
'350130016',32.00371,-106.59972
'350130021',31.79622,-106.58443
'350130025',32.32204,-106.76834
'350250008',32.72666,-103.12292
'360010005',42.64225,-73.75464
'360010012',42.68075,-73.75733
'360050110',40.816,-73.902
'360050133',40.8679,-73.87809
'360130006',42.49963,-79.31881
'360290002',42.99328,-78.77153
'360290005',42.87691,-78.80953
'360290023',42.92111,-78.76583
'360310003',44.39308,-73.8589
'360470122',40.71961,-73.94771
'360550015',43.14501,-77.55728
'360551007',43.14618,-77.54817
'360610079',40.7997,-73.93432
'360610128',40.73,-73.984
'360610134',40.71436,-73.99518
'360671015',43.05235,-76.05921
'360710002',41.49916,-74.00885
'360810124',40.73614,-73.82153
'360850055',40.63307,-74.13719
'361010003',42.09142,-77.20978
'361030002',40.74529,-73.41919
'370210034',35.6075,-82.58333
'370330001',36.30703,-79.46742
'370350004',35.72889,-81.36556
'370510009',35.04142,-78.95311
'370570002',35.81444,-80.2625
'370630015',36.03294,-78.90542
'370670022',36.11069,-80.22644
'370670030',36.026,-80.342
'370810013',36.10917,-79.80111
'370990006',35.46677,-83.27793
'371010002',35.59083,-78.46194
'371190041',35.2401,-80.78568
'371190042',35.15128,-80.86698
'371190043',35.3041,-80.88865
'371210004',35.91249,-82.06208
'371230001',35.2632,-79.83661
'371290002',34.36417,-77.83861
'371470006',35.63861,-77.35805
'371730002',35.43477,-83.44213
'371830014',35.85611,-78.57417
'380070002',46.8943,-103.37853
'380130004',48.64193,-102.4018
'380150003',46.82543,-100.76821
'380171004',46.93375,-96.85535
'380250003',47.3132,-102.5273
'380530002',47.5812,-103.2995
'380570004',47.29861,-101.76694
'380650002',47.18583,-101.42806
'381050003',48.15278,-103.63951
'390030009',40.77094,-84.0539
'390090003',39.44217,-81.90883
'390130006',39.9679,-80.7464
'390170003',39.4938,-84.3543
'390170015',39.49072,-84.36374
'390170016',39.33839,-84.5666
'390170019',39.47885,-84.40767
'390170020',39.47244,-84.39495
'390170022',39.47869,-84.39711
'390230005',39.92882,-83.80949
'390350034',41.55523,-81.57526
'390350038',41.47701,-81.68238
'390350045',41.47178,-81.65679
'390350060',41.49212,-81.67845
'390350065',41.44668,-81.66242
'390351002',41.39629,-81.81867
'390490024',39.99875,-82.99344
'390490029',40.08456,-82.81555
'390490039',39.92853,-82.9801
'390490081',40.0877,-82.95977
'390570005',39.80834,-83.88705
'390610006',39.2787,-84.36625
'390610010',39.21487,-84.69086
'390610014',39.19433,-84.47897
'390610040',39.12886,-84.50404
'390610042',39.10492,-84.55117
'390810017',40.36644,-80.61558
'390810021',40.31951,-80.60795
'390850007',41.72681,-81.24216
'390870012',38.50807,-82.65924
'390933002',41.46307,-82.11426
'390950024',41.64407,-83.54616
'390950026',41.62057,-83.64226
'390950028',41.66257,-83.47833
'390990005',41.11111,-80.64528
'390990014',41.09594,-80.65852
'391030004',41.0604,-81.9239
'391130038',39.75597,-84.19867
'391330002',41.1644,-81.2352
'391351001',39.83562,-84.72049
'391450013',38.75465,-82.917
'391510017',40.78688,-81.39419
'391510020',40.80073,-81.37301
'391530017',41.06353,-81.46896
'391530023',41.08796,-81.54161
'391550014',41.23172,-80.80116
'400190297',34.24419,-97.46293
'400270049',35.3201,-97.4841
'400310651',34.63298,-98.42879
'400430860',36.15841,-98.93197
'400710604',36.69719,-97.08135
'401090035',35.47292,-97.52709
'401090097',35.50307,-97.57798
'401091037',35.61413,-97.47508
'401210415',34.90227,-95.78437
'401359021',35.40814,-94.52441
'401430174',35.95371,-96.00498
'401431127',36.2049,-95.97654
'401470217',36.90818,-95.88262
'410130100',44.29979,-120.84477
'410250003',43.58925,-119.04872
'410290133',42.31411,-122.87923
'410330114',42.43414,-123.34847
'410350004',42.1903,-121.73137
'410370001',42.18921,-120.35397
'410390059',44.06722,-123.14135
'410390060',44.02631,-123.08374
'410391009',44.0467,-123.0177
'410392013',43.74435,-122.48049
'410399004',43.7995,-123.05349
'410510080',45.49664,-122.60288
'410670004',45.5285,-122.9724
'410670005',45.3935,-122.74789
'420010001',39.92002,-77.30968
'420030002',40.49977,-80.07134
'420030008',40.46542,-79.96076
'420030064',40.32377,-79.86806
'420030067',40.37564,-80.16994
'420030093',40.60662,-80.02167
'420031008',40.61749,-79.72766
'420031301',40.40233,-79.86097
'420031376',40.43743,-79.86357
'420033007',40.29434,-79.88533
'420050001',40.81418,-79.56475
'420070014',40.7478,-80.31644
'420110011',40.38335,-75.9686
'420130801',40.53528,-78.37083
'420150011',41.70523,-76.51273
'420210011',40.30972,-78.915
'420270100',40.81139,-77.87703
'420290100',39.83446,-75.76824
'420410101',40.24653,-77.18675
'420430401',40.24699,-76.84699
'420450002',39.83556,-75.3725
'420450109',39.81871,-75.41397
'420490003',42.14175,-80.03861
'420590002',39.80933,-80.26567
'420692006',41.44278,-75.62306
'420710007',40.04667,-76.28333
'420710012',40.04383,-76.1124
'420750100',40.33733,-76.38345
'420770004',40.61194,-75.4325
'420850100',41.21501,-80.48478
'420890002',41.08306,-75.32328
'420950025',40.62806,-75.34111
'421010004',40.00889,-75.09778
'421010048',39.99139,-75.08083
'421010055',39.92287,-75.18692
'421010057',39.96006,-75.14222
'421010075',40.05413,-74.9848
'421010076',39.98884,-75.20682
'421174000',41.64472,-76.93917
'421250005',40.14667,-79.90222
'421250200',40.17056,-80.26139
'421255001',40.44528,-80.42083
'421290008',40.30469,-79.50567
'421330008',39.96528,-76.69944
'440030002',41.61524,-71.72
'440070022',41.80778,-71.4151
'440070026',41.87467,-71.37997
'440070030',41.8295,-71.41746
'440071010',41.84104,-71.36097
'440090007',41.49511,-71.4237
'450190048',32.98025,-80.06501
'450190049',32.79098,-79.95869
'450250001',34.61537,-80.19879
'450370001',33.73996,-81.85363
'450410003',34.21426,-79.76735
